xcen,ycen,sxx,syy,sxy                                                     
5.0000E-001,6.3500E+001,-8.6666E+006,-2.5940E+007,7.0503E+003            
5.0000E-001,6.4500E+001,-8.6670E+006,-2.5955E+007,6.8449E+003            
5.0000E-001,6.5500E+001,-8.6674E+006,-2.5970E+007,7.0586E+003            
5.0000E-001,6.6500E+001,-8.6680E+006,-2.5985E+007,6.3716E+003            
5.0000E-001,6.7500E+001,-8.6681E+006,-2.5999E+007,5.7376E+003            
5.0000E-001,6.8500E+001,-8.6672E+006,-2.6011E+007,5.8843E+003            
5.0000E-001,6.9500E+001,-8.6664E+006,-2.6023E+007,5.1873E+003            
5.0000E-001,7.0500E+001,-8.6672E+006,-2.6034E+007,4.4426E+003            
5.0000E-001,7.1500E+001,-8.6672E+006,-2.6041E+007,3.0747E+003            
5.0000E-001,7.2500E+001,-8.6668E+006,-2.6046E+007,2.9902E+003            
5.0000E-001,7.3500E+001,-8.6671E+006,-2.6053E+007,2.3472E+003            
5.0000E-001,7.4500E+001,-8.6671E+006,-2.6057E+007,1.4484E+003            
5.0000E-001,7.5500E+001,-8.6668E+006,-2.6057E+007,-3.2482E+002           
5.0000E-001,7.6500E+001,-8.6665E+006,-2.6058E+007,1.3417E+002            
5.0000E-001,7.7500E+001,-8.6674E+006,-2.6058E+007,-1.0740E+003           
5.0000E-001,7.8500E+001,-8.6669E+006,-2.6055E+007,-1.4981E+003           
5.0000E-001,7.9500E+001,-8.6669E+006,-2.6052E+007,-1.8685E+003           
5.0000E-001,8.0500E+001,-8.6669E+006,-2.6048E+007,-2.5348E+003           
5.0000E-001,8.1500E+001,-8.6672E+006,-2.6044E+007,-2.5450E+003           
5.0000E-001,8.2500E+001,-8.6672E+006,-2.6038E+007,-3.7750E+003           
5.0000E-001,8.3500E+001,-8.6669E+006,-2.6031E+007,-3.7036E+003           
5.0000E-001,8.4500E+001,-8.6671E+006,-2.6025E+007,-3.3990E+003           
5.0000E-001,8.5500E+001,-8.6670E+006,-2.6018E+007,-3.1806E+003           
5.0000E-001,8.6500E+001,-8.6669E+006,-2.6012E+007,-3.3364E+003           
5.0000E-001,8.7500E+001,-8.6668E+006,-2.6005E+007,-2.9226E+003           
5.0000E-001,8.8500E+001,-8.6671E+006,-2.6000E+007,-2.4164E+003           
5.0000E-001,8.9500E+001,-8.6670E+006,-2.5995E+007,-1.9929E+003           
5.0000E-001,9.0500E+001,-8.6668E+006,-2.5992E+007,-1.8112E+003           
5.0000E-001,9.1500E+001,-8.6669E+006,-2.5989E+007,-1.2473E+003           
5.0000E-001,9.2500E+001,-8.6669E+006,-2.5987E+007,-8.8863E+002           
5.0000E-001,9.3500E+001,-8.6670E+006,-2.5987E+007,-3.4661E+002           
5.0000E-001,9.4500E+001,-8.6671E+006,-2.5988E+007,4.6485E+002            
5.0000E-001,9.5500E+001,-8.6669E+006,-2.5989E+007,1.1862E+003            
5.0000E-001,9.6500E+001,-8.6667E+006,-2.5992E+007,1.5854E+003            
5.0000E-001,9.7500E+001,-8.6665E+006,-2.5995E+007,1.6045E+003            
